AreaCode,Country,Province Name,Province,City
978,US,Massachusetts,MA,Peabody
979,US,Texas,TX,Wharton
226,CA,Ontario,ON,London
236,CA,British Columbia,BC,Vancouver
249,CA,Ontario,ON,Sudbury
250,CA,British Columbia,BC,Kelowna
289,CA,Ontario,ON,Hamilton
343,CA,Ontario,ON,Ottawa
365,CA,Ontario,ON,Hamilton
367,CA,Quebec,QC,Quebec
431,CA,Manitoba,MB,Winnipeg
437,CA,Ontario,ON,Toronto
438,CA,Quebec,QC,Montreal
548,CA,Ontario,ON,London
579,CA,Quebec,QC,Granby
581,CA,Quebec,QC,Quebec
587,CA,Alberta,AB,Calgary
639,CA,Saskatchewan,SK,Regina
778,CA,British Columbia,BC,Vancouver
782,CA,Nova Scotia,NS,Halifax
825,CA,Alberta,AB,Calgary
873,CA,Quebec,QC,Sherbrooke
710,Usother,,Usother,
684,Usother,,Usother,
671,Usother,,Usother,
670,Usother,,Usother,
264,Usother,,Usother,
268,Usother,,Usother,
242,Usother,,Usother,
246,Usother,,Usother,
441,Usother,,Usother,
284,Usother,,Usother,
345,Usother,,Usother,
767,Usother,,Usother,
809,Usother,,Usother,
473,Usother,,Usother,
658,Usother,,Usother,
664,Usother,,Usother,
787,Usother,,Usother,
869,Usother,,Usother,
758,Usother,,Usother,
784,Usother,,Usother,
721,Usother,,Usother,
868,Usother,,Usother,
649,Usother,,Usother,
829,Usother,,Usother,
849,Usother,,Usother,
876,Usother,,Usother,
939,Usother,,Usother,
600,noGeo,,Canadaspecial services,
622,noGeo,,Canadaspecial services,
633,noGeo,,Canadaspecial services,
644,noGeo,,Canadaspecial services,
655,noGeo,,Canadaspecial services,
677,noGeo,,Canadaspecial services,
688,noGeo,,Canadaspecial services,
700,noGeo,,Interexchange carrier-specific services,
500,noGeo,,Personal communications services,
521,noGeo,,Personal communications services,
522,noGeo,,Personal communications services,
523,noGeo,,Personal communications services,
524,noGeo,,Personal communications services,
525,noGeo,,Personal communications services,
526,noGeo,,Personal communications services,
527,noGeo,,Personal communications services,
528,noGeo,,Personal communications services,
529,noGeo,,Personal communications services,
532,noGeo,,Personal communications services,
533,noGeo,,Personal communications services,
535,noGeo,,Personal communications services,
538,noGeo,,Personal communications services,
542,noGeo,,Personal communications services,
543,noGeo,,Personal communications services,
544,noGeo,,Personal communications services,
545,noGeo,,Personal communications services,
546,noGeo,,Personal communications services,
547,noGeo,,Personal communications services,
549,noGeo,,Personal communications services,
550,noGeo,,Personal communications services,
552,noGeo,,Personal communications services,
553,noGeo,,Personal communications services,
554,noGeo,,Personal communications services,
556,noGeo,,Personal communications services,
566,noGeo,,Personal communications services,
558,noGeo,,Personal communications services,
